year.range,type,size.ft3,cons.year.kwh.fridg,id.year,id.capacity,id.freezer.loc,id.number.doors,id.appl
2001-2010,Bottom,19.0-21.4,762,5,5,2,2,fridg_5522
2011-2015,Bottom,19.0-21.4,539,6,5,2,2,fridg_6522
2016-2017,Bottom,19.0-21.4,479,7,5,2,2,fridg_7522
<1980,Bottom,21.5-24.4,3149,1,6,2,2,fridg_1622
1980-1989,Bottom,21.5-24.4,2486,2,6,2,2,fridg_2622
1990-1992,Bottom,21.5-24.4,1896,3,6,2,2,fridg_3622
1993-2000,Bottom,21.5-24.4,1172,4,6,2,2,fridg_4622
2001-2010,Bottom,21.5-24.4,777,5,6,2,2,fridg_5622
2011-2015,Bottom,21.5-24.4,562,6,6,2,2,fridg_6622
2016-2017,Bottom,21.5-24.4,500,7,6,2,2,fridg_7622
<1980,Bottom,>24.5,3669,1,7,2,2,fridg_1722
1980-1989,Bottom,>24.5,2897,2,7,2,2,fridg_2722
1990-1992,Bottom,>24.5,2210,3,7,2,2,fridg_3722
1993-2000,Bottom,>24.5,1347,4,7,2,2,fridg_4722
2001-2010,Bottom,>24.5,822,5,7,2,2,fridg_5722
2011-2015,Bottom,>24.5,627,6,7,2,2,fridg_6722
2016-2017,Bottom,>24.5,559,7,7,2,2,fridg_7722
<1980,Side,<6,2358,1,1,3,2,fridg_1132
1980-1989,Side,<6,1745,2,1,3,2,fridg_2132
1990-1992,Side,<6,1331,3,1,3,2,fridg_3132
1993-2000,Side,<6,937,4,1,3,2,fridg_4132
2001-2010,Side,<6,615,5,1,3,2,fridg_5132
2011-2015,Side,<6,487,6,1,3,2,fridg_6132
2016-2017,Side,<6,440,7,1,3,2,fridg_7132
<1980,Side,6.0-10.4,2599,1,2,3,2,fridg_1232
1980-1989,Side,6.0-10.4,1923,2,2,3,2,fridg_2232
1990-1992,Side,6.0-10.4,1467,3,2,3,2,fridg_3232
1993-2000,Side,6.0-10.4,1033,4,2,3,2,fridg_4232
2001-2010,Side,6.0-10.4,678,5,2,3,2,fridg_5232
2011-2015,Side,6.0-10.4,537,6,2,3,2,fridg_6232
2016-2017,Side,6.0-10.4,485,7,2,3,2,fridg_7232
<1980,Side,10.5-16.4,2864,1,3,3,2,fridg_1332
1980-1989,Side,10.5-16.4,2119,2,3,3,2,fridg_2332
1990-1992,Side,10.5-16.4,1617,3,3,3,2,fridg_3332
1993-2000,Side,10.5-16.4,1139,4,3,3,2,fridg_4332
2001-2010,Side,10.5-16.4,747,5,3,3,2,fridg_5332
2011-2015,Side,10.5-16.4,592,6,3,3,2,fridg_6332
2016-2017,Side,10.5-16.4,534,7,3,3,2,fridg_7332
<1980,Side,16.5-18.9,3110,1,4,3,2,fridg_1432
1980-1989,Side,16.5-18.9,2456,2,4,3,2,fridg_2432
1990-1992,Side,16.5-18.9,1873,3,4,3,2,fridg_3432
1993-2000,Side,16.5-18.9,1266,4,4,3,2,fridg_4432
2001-2010,Side,16.5-18.9,818,5,4,3,2,fridg_5432
2011-2015,Side,16.5-18.9,640,6,4,3,2,fridg_6432
2016-2017,Side,16.5-18.9,578,7,4,3,2,fridg_7432
<1980,Side,19.0-21.4,3322,1,5,3,2,fridg_1532
1980-1989,Side,19.0-21.4,2623,2,5,3,2,fridg_2532
1990-1992,Side,19.0-21.4,2001,3,5,3,2,fridg_3532
1993-2000,Side,19.0-21.4,1329,4,5,3,2,fridg_4532
2001-2010,Side,19.0-21.4,854,5,5,3,2,fridg_5532
2011-2015,Side,19.0-21.4,664,6,5,3,2,fridg_6532
2016-2017,Side,19.0-21.4,598,7,5,3,2,fridg_7532
<1980,Side,21.5-24.4,3453,1,6,3,2,fridg_1632
1980-1989,Side,21.5-24.4,2726,2,6,3,2,fridg_2632
1990-1992,Side,21.5-24.4,2080,3,6,3,2,fridg_3632
1993-2000,Side,21.5-24.4,1368,4,6,3,2,fridg_4632
2001-2010,Side,21.5-24.4,876,5,6,3,2,fridg_5632
2011-2015,Side,21.5-24.4,679,6,6,3,2,fridg_6632
2016-2017,Side,21.5-24.4,611,7,6,3,2,fridg_7632
<1980,Side,>24.5,3988,1,7,3,2,fridg_1732
1980-1989,Side,>24.5,3149,2,7,3,2,fridg_2732
1990-1992,Side,>24.5,2402,3,7,3,2,fridg_3732
1993-2000,Side,>24.5,1528,4,7,3,2,fridg_4732
2001-2010,Side,>24.5,966,5,7,3,2,fridg_5732
2011-2015,Side,>24.5,740,6,7,3,2,fridg_6732
2016-2017,Side,>24.5,650,7,7,3,2,fridg_7732
<1980,French,<6,2077,1,1,2,3,fridg_1123
1980-1989,French,<6,1640,2,1,2,3,fridg_2123
1990-1992,French,<6,1250,3,1,2,3,fridg_3123
1993-2000,French,<6,792,4,1,2,3,fridg_4123
2001-2010,French,<6,596,5,1,2,3,fridg_5123
2011-2015,French,<6,397,6,1,2,3,fridg_6123
2016-2017,French,<6,353,7,1,2,3,fridg_7123
<1980,French,6.0-10.4,2289,1,2,2,3,fridg_1223
1980-1989,French,6.0-10.4,1807,2,2,2,3,fridg_2223
1990-1992,French,6.0-10.4,1378,3,2,2,3,fridg_3223
1993-2000,French,6.0-10.4,873,4,2,2,3,fridg_4223
2001-2010,French,6.0-10.4,657,5,2,2,3,fridg_5223
2011-2015,French,6.0-10.4,438,6,2,2,3,fridg_6223
2016-2017,French,6.0-10.4,389,7,2,2,3,fridg_7223
<1980,French,10.5-16.4,2523,1,3,2,3,fridg_1323
1980-1989,French,10.5-16.4,1992,2,3,2,3,fridg_2323
1990-1992,French,10.5-16.4,1519,3,3,2,3,fridg_3323
1993-2000,French,10.5-16.4,962,4,3,2,3,fridg_4323
2001-2010,French,10.5-16.4,724,5,3,2,3,fridg_5323
2011-2015,French,10.5-16.4,483,6,3,2,3,fridg_6323
2016-2017,French,10.5-16.4,429,7,3,2,3,fridg_7323
<1980,French,16.5-18.9,2789,1,4,2,3,fridg_1423
1980-1989,French,16.5-18.9,2202,2,4,2,3,fridg_2423
1990-1992,French,16.5-18.9,1680,3,4,2,3,fridg_3423
1993-2000,French,16.5-18.9,1051,4,4,2,3,fridg_4423
2001-2010,French,16.5-18.9,747,5,4,2,3,fridg_5423
2011-2015,French,16.5-18.9,517,6,4,2,3,fridg_6423
2016-2017,French,16.5-18.9,461,7,4,2,3,fridg_7423
<1980,French,19.0-21.4,2965,1,5,2,3,fridg_1523
1980-1989,French,19.0-21.4,2341,2,5,2,3,fridg_2523
1990-1992,French,19.0-21.4,1786,3,5,2,3,fridg_3523
1993-2000,French,19.0-21.4,1110,4,5,2,3,fridg_4523
2001-2010,French,19.0-21.4,762,5,5,2,3,fridg_5523
2011-2015,French,19.0-21.4,539,6,5,2,3,fridg_6523
2016-2017,French,19.0-21.4,479,7,5,2,3,fridg_7523
<1980,French,21.5-24.4,3149,1,6,2,3,fridg_1623
1980-1989,French,21.5-24.4,2486,2,6,2,3,fridg_2623
1990-1992,French,21.5-24.4,1896,3,6,2,3,fridg_3623
1993-2000,French,21.5-24.4,1172,4,6,2,3,fridg_4623
2001-2010,French,21.5-24.4,777,5,6,2,3,fridg_5623
2011-2015,French,21.5-24.4,562,6,6,2,3,fridg_6623
2016-2017,French,21.5-24.4,500,7,6,2,3,fridg_7623
<1980,French,>24.5,3669,1,7,2,3,fridg_1723
1980-1989,French,>24.5,2897,2,7,2,3,fridg_2723
1990-1992,French,>24.5,2210,3,7,2,3,fridg_3723
1993-2000,French,>24.5,1347,4,7,2,3,fridg_4723
2001-2010,French,>24.5,822,5,7,2,3,fridg_5723
2011-2015,French,>24.5,627,6,7,2,3,fridg_6723
2016-2017,French,>24.5,559,7,7,2,3,fridg_7723
<1980,Upright,<6,1811,1,1,1,1,fridg_1111
1980-1989,Upright,<6,1540,2,1,1,1,fridg_2111
1990-1992,Upright,<6,1106,3,1,1,1,fridg_3111
1993-2000,Upright,<6,771,4,1,1,1,fridg_4111
2001-2010,Upright,<6,587,5,1,1,1,fridg_5111
2011-2015,Upright,<6,369,6,1,1,1,fridg_6111
2016-2017,Upright,<6,328,7,1,1,1,fridg_7111
