folio,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
16589,1,0, ,1,1,2,2,2,2,3,1,2
16590,1,0, ,1,2,2,2,2,2,2,2,0
16591,1,0, ,1,2,2,2,2,1,2,1,1
16592,1,0, ,1,2,2,2,2,1,4,2,2
16593,1,0, , , , , , , ,4,1,3
16594,1,0, ,1,2,2,2,2,2,2,1,1
16595,1,0, , , , , , , ,1,0,1
16596,1,0, ,1,2,2,2,2,2,4,3,1
16597,1,0, , , , , , , ,4,3,1
16598,1,0, , , , , , , ,4,2,2
16599,1,0, , , , , , , ,6,2,4
16600,1,0, ,2,1,2,2,2,2,3,2,1
16601,1,0, ,2,2,2,2,2,1,5,3,2
16602,1,0, , , , , , , ,2,1,1
16603,1,0, , , , , , , ,3,2,1
16604,1,0, , , , , , , ,4,2,2
16605,1,0, , , , , , , ,3,1,2
16606,1,0, , , , , , , ,1,1,0
16607,1,0, , , , , , , ,2,1,1
16608,1,0, , , , , , , ,4,3,1
16609,1,0, , , , , , , ,3,2,1
16610,1,0, , , , , , , ,3,2,1
16611,1,0, , , , , , , ,1,1,0
16612,1,0, ,1,2,2,2,2,2,2,1,1
16613,1,0, ,1,2,2,2,2,2,3,1,2
16614,1,0, , , , , , , ,3,1,2
16615,1,0, , , , , , , ,4,2,2
16616,1,0, , , , , , , ,5,2,3
16617,1,0, , , , , , , ,2,1,1
16618,1,0, , , , , , , ,5,3,2
16619,1,0, , , , , , , ,4,1,3
16620,1,0, , , , , , , ,3,1,2
16621,1,0, , , , , , , ,3,1,2
16622,1,0, ,2,2,2,2,2,1,2,2,0
16623,1,0, , , , , , , ,4,3,1
16624,1,0, , , , , , , ,5,2,3
16625,1,0, , , , , , , ,5,1,4
16626,1,0, , , , , , , ,3,0,3
16627,1,0, , , , , , , ,6,3,3
16628,1,0, , , , , , , ,1,1,0
16629,1,0, , , , , , , ,5,1,4
16630,1,0, , , , , , , ,3,1,2
16631,1,0, , , , , , , ,2,0,2
16632,1,0, , , , , , , ,2,0,2
16633,1,0, , , , , , , ,4,3,1
16634,1,0, , , , , , , ,5,2,3
16635,1,0, , , , , , , ,6,2,4
16636,1,0, , , , , , , ,2,1,1
16637,1,0, , , , , , , ,4,1,3
16638,1,0, , , , , , , ,2,1,1
16639,1,0, , , , , , , ,3,2,1
16640,1,0, , , , , , , ,5,4,1
16641,1,0, , , , , , , ,4,1,3
16642,1,0, , , , , , , ,1,1,0
16643,1,0, , , , , , , ,10,5,5
16644,1,0, , , , , , , ,2,2,0
16645,1,0, , , , , , , ,1,0,1
16646,1,0, , , , , , , ,4,2,2
16647,1,0, , , , , , , ,3,2,1
16648,1,0, ,1,2,2,2,2,2,4,2,2
16649,1,0, , , , , , , ,4,2,2
16650,1,0, , , , , , , ,1,1,0
16651,1,0, , , , , , , ,4,1,3
16652,1,0, , , , , , , ,3,2,1
16653,1,0, , , , , , , ,1,0,1
16654,1,0, , , , , , , ,3,2,1
16655,1,0, , , , , , , ,1,0,1
16656,1,0, , , , , , , ,4,1,3
16657,1,0, , , , , , , ,2,1,1
16658,1,0, , , , , , , ,5,1,4
16659,1,0, , , , , , , ,3,2,1
16660,1,0, , , , , , , ,3,1,2
16661,1,0, , , , , , , ,2,1,1
16662,1,0, , , , , , , ,6,3,3
16663,1,0, , , , , , , ,4,1,3
16664,1,0, , , , , , , ,2,1,1
16665,1,0, , , , , , , ,2,1,1
16666,1,0, , , , , , , ,1,0,1
16667,1,0, ,2,2,2,2,2,1,2,2,0
16668,1,0, , , , , , , ,3,1,2
16669,1,0, ,1,2,2,2,2,2,5,2,3
16670,1,0, , , , , , , ,2,1,1
16671,1,0, , , , , , , ,2,1,1
16672,1,0, , , , , , , ,3,2,1
16673,1,0, , , , , , , ,4,1,3
16674,1,0, , , , , , , ,3,2,1
16675,1,0, , , , , , , ,7,4,3
16676,1,0, , , , , , , ,6,3,3
16677,1,0, , , , , , , ,6,4,2
16678,1,0, , , , , , , ,10,5,5
16679,1,0, , , , , , , ,2,0,2
16680,1,0, , , , , , , ,2,1,1
16681,1,0, , , , , , , ,5,3,2
16682,1,0, , , , , , , ,6,3,3
16683,1,0, , , , , , , ,4,2,2
16684,1,0, ,1,2,2,2,2,2,5,2,3
